issue_id,issue_name,issue_slug
35,women's rights,womensrights
31,science,science
15,executive,executive
1,,
24,migration,migration
18,healthcare,healthcare
33,taxes,taxes
19,housing,housing
30,reproductive rights,reproductiverights
12,education,education
20,judiciary,judiciary
32,sexual violence,sexualviolence
21,labor,labor
13,energy,energy
14,environment,environment
16,foreign affairs,foreignaffairs
25,military,military
7,democracy,democracy
27,policing,policing
22,legislative,legislative
8,development,development
6,criminal justice,criminaljustice
3,civil rights,civilrights
23,lgbtq rights,lgbtqrights
26,native peoples' rights,nativepeoplesrights
34,transportation,transportation
28,racism,racism
29,religion,religion
17,guns,guns
5,covid,covid
2,animal rights,animalrights
11,economy,economy
4,corruption,corruption
9,disabled rights,disabledrights
10,drugs,drugs
