state_id,name,abbrev,state_fips,feature_code,lsad_code,land_area,water_area
01,Alabama,AL,01,01779775,00,131174192284,4593183334
02,Alaska,AK,02,01785533,00,1478927050067,245394222619
04,Arizona,AZ,04,01779777,00,294360282618,859561204
05,Arkansas,AR,05,00068085,00,134776580080,2956395922
06,California,CA,06,01779778,00,403660088482,20305454540
08,Colorado,CO,08,01779779,00,268419875371,1184637800
09,Connecticut,CT,09,01779780,00,12542497381,1815617293
10,Delaware,DE,10,01779781,00,5046620081,1399291164
11,District of Columbia,DC,11,01702382,00,158340389,18687196
12,Florida,FL,12,00294478,00,138947364717,31362872853
13,Georgia,GA,13,01705317,00,149484604230,4420380296
15,Hawaii,HI,15,01779782,00,16634006436,11777792811
16,Idaho,ID,16,01779783,00,214049897859,2391604238
17,Illinois,IL,17,01779784,00,143779863817,6215723896
18,Indiana,IN,18,00448508,00,92790048198,1537252652
19,Iowa,IA,19,01779785,00,144660467237,1084981626
20,Kansas,KS,20,00481813,00,211753474780,1346010601
21,Kentucky,KY,21,01779786,00,102282218059,2372611005
22,Louisiana,LA,22,01629543,00,111899106382,23752001883
23,Maine,ME,23,01779787,00,79887659040,11745717739
24,Maryland,MD,24,01714934,00,25151726296,6979340970
25,Massachusetts,MA,25,00606926,00,20204387828,7130663019
26,Michigan,MI,26,01779789,00,146608689865,103878116983
27,Minnesota,MN,27,00662849,00,206230065476,18942261495
28,Mississippi,MS,28,01779790,00,121536584987,3923863925
29,Missouri,MO,29,01779791,00,178049911275,2489250399
30,Montana,MT,30,00767982,00,376966832749,3869031338
31,Nebraska,NE,31,01779792,00,198953801353,1374686302
32,Nevada,NV,32,01779793,00,284537049864,1839662829
33,New Hampshire,NH,33,01779794,00,23189198255,1026903434
34,New Jersey,NJ,34,01779795,00,19048848841,3543837357
35,New Mexico,NM,35,00897535,00,314197253999,727781442
36,New York,NY,36,01779796,00,122050000805,19246143659
37,North Carolina,NC,37,01027616,00,125925929633,13463401534
38,North Dakota,ND,38,01779797,00,178695635183,4411365971
39,Ohio,OH,39,01085497,00,105823701267,10274036690
40,Oklahoma,OK,40,01102857,00,177662675149,3374950118
41,Oregon,OR,41,01155107,00,248607777514,6191602576
42,Pennsylvania,PA,42,01779798,00,115880457407,3398574954
44,Rhode Island,RI,44,01219835,00,2677787140,1323663210
45,South Carolina,SC,45,01779799,00,77864659170,5075874513
46,South Dakota,SD,46,01785534,00,196346195316,3383460688
47,Tennessee,TN,47,01325873,00,106805839178,2347012319
48,Texas,TX,48,01779801,00,676668210823,18991880422
49,Utah,UT,49,01455989,00,213355135666,6529910339
50,Vermont,VT,50,01779802,00,23874197924,1030383955
51,Virginia,VA,51,01779803,00,102258306285,8527942672
53,Washington,WA,53,01779804,00,172117954267,12549727444
54,West Virginia,WV,54,01779805,00,62266231560,489271086
55,Wisconsin,WI,55,01779806,00,140293020078,29344176961
56,Wyoming,WY,56,01779807,00,251458578211,1867637632
72,Puerto Rico,PR,72,01779808,00,8868701898,4922576715
