Region_id,Region,Population
1,US,328239523
2,AL,4903185
3,AK,731545
4,AZ,7278717
5,AR,3017804
6,CA,39512223
7,CO,5758736
8,CT,3565287
9,DE,973764
10,DC,705749
11,FL,21477737
12,GA,10617423
13,HI,1415872
14,ID,1787065
15,IL,12671821
16,IN,6732219
17,IA,3155070
18,KS,2913314
19,KY,4467673
20,LA,4648794
21,ME,1344212
22,MD,6045680
23,MA,6892503
24,MI,9986857
25,MN,5639632
26,MS,2976149
27,MO,6137428
28,MT,1068778
29,NE,1934408
30,NV,3080156
31,NH,1359711
32,NJ,8882190
33,NM,2096829
34,NY,19453561
35,NC,10488084
36,ND,762062
37,OH,11689100
38,OK,3956971
39,OR,4217737
40,PA,12801989
41,RI,1059361
42,SC,5148714
43,SD,884659
44,TN,6829174
45,TX,28995881
46,UT,3205958
47,VT,623989
48,VA,8535519
49,WA,7614893
50,WV,1792147
51,WI,5822434
52,WY,578759
